,,,Date of load 2023 04 05,,,,,,,,,,,,,,,,,,
,NO.,CODE,DESCRIPTION,EURO,COLLI,KG,VALUE,,,,,,,,,,,,,,
3130,582.,WLTR,WOMAN LIGHT TROUSERS,"3,30€",20,200,"660,00€",,,,,,,,,,,,,,
3091,583.,CREX PSW,CREAM&EXTRA POLAR SWEATER,"4,80€",15,300,"1 440,00€",,,,,,,,,,,,,,
3710,592.,JJ A,JEANS JACKET A,"1,60€",10,350,"560,00€",,,,,,,,,,,,,,
,,,KARATE BELT,"1,10€",1,40,"44,00€",,,,,,,,,,,,,,
,,,,,,,"75 615,90€",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3633,,,Cream adult,"5,7",41,2584,14728,,,,04.23,,,,,,,,,,
3332,,,Cream baby,"6,7",13,320,2144,,,,,,,,,,,,,,
3352,,,Sport shoes,"6,5",12,233,1514,,,,,,,,,,,,,,
3322,,,Man extra,"2,7",19,653,1763,,,,,,,,,,,,,,
3678,,,Baby extra,"2,7",10,319,861,,,,,,,,,,,,,,
3691,,,Man pants,"2,7",7,248,669,,,,,,,,,,,,,,
3685,,,Woman jeans,2,5,179,358,,,,,,,,,,,,,,
3305,,,Underwear,4,4,97,388,,,,,,,,,,,,,,
3306,,,Hhr,"2,5",10,325,812,,,,,,,,,,,,,,
3352,,,Cream shoes,"6,7",11,267,1788,,,,,,,,,,,,,,
3304,,,Cream bags,"6,7",13,326,2184,,,,,,,,,,,,,,
3689,,,Lenzuoli,"2,5",6,183,457,,,,,,,,,,,,,,
3355,,,Extra brand,"2,7",15,430,1161,,,,,,,,,,,,,,
3311,,,Lino,"2,7",4,115,310,,,,,,,,,,,,,,
3316,,,Moto,3,3,65,195,,,,,,,,,,,,,,
3683,,,Bijuteria+farfor,5,2,46,230,,,,,,,,,,,,,,
3380,,,Vintege,5,3,353,1765,,,,,,,,,,,,,,
